Date,Open,High,Low,Close
11/01/2024,"5,723.22","5,772.52","5,723.22","5,728.80"
10/31/2024,"5,775.34","5,775.34","5,702.86","5,705.45"
10/30/2024,"5,832.65","5,850.94","5,811.28","5,813.67"
10/29/2024,"5,819.68","5,847.19","5,802.17","5,832.92"
10/28/2024,"5,833.93","5,842.92","5,823.08","5,823.52"
10/25/2024,"5,826.75","5,862.82","5,799.98","5,808.12"
10/24/2024,"5,817.80","5,817.80","5,784.92","5,809.86"
10/23/2024,"5,834.50","5,834.85","5,762.41","5,797.42"
10/22/2024,"5,832.70","5,863.04","5,821.17","5,851.20"
10/21/2024,"5,857.82","5,866.92","5,824.79","5,853.98"
10/18/2024,"5,859.43","5,872.17","5,846.11","5,864.67"
10/17/2024,"5,875.62","5,878.46","5,840.25","5,841.47"
10/16/2024,"5,816.58","5,846.52","5,808.34","5,842.47"
10/15/2024,"5,866.74","5,870.36","5,804.48","5,815.26"
10/14/2024,"5,829.81","5,871.41","5,829.57","5,859.85"
10/11/2024,"5,775.09","5,822.13","5,775.09","5,815.03"
10/10/2024,"5,778.36","5,795.03","5,764.76","5,780.05"
10/09/2024,"5,751.80","5,796.80","5,745.02","5,792.04"
10/08/2024,"5,719.14","5,757.60","5,714.56","5,751.13"
10/07/2024,"5,737.80","5,739.34","5,686.85","5,695.94"
10/04/2024,"5,737.48","5,753.21","5,702.83","5,751.07"
10/03/2024,"5,698.19","5,718.78","5,677.37","5,699.94"
10/02/2024,"5,698.14","5,719.63","5,674.00","5,709.54"
10/01/2024,"5,757.73","5,757.73","5,681.28","5,708.75"
